"customer_id";"first_name";"last_name";"gender";"date_of_birth";"email";"phone_number";"sign_up_time";"sign_up_date";"address";"city";"state";"zip_code"
1;"Robert";"Smith";"Female";"1994-06-14";"jane.davis1@mail.com";"634-106-4981";"17:23:25";"2016-10-16";"8465 Main St";"San Antonio";"CA";35566
2;"Emily";"Garcia";"Female";"1989-09-21";"robert.williams2@mail.com";"386-635-5998";"14:24:06";"2021-04-04";"305 Main St";"New York";"AZ";23187
3;"Jessica";"Brown";"Male";"1984-01-21";"emily.davis3@mail.com";"627-341-5213";"04:51:57";"2018-04-22";"5725 Oak St";"Chicago";"AZ";99188
4;"Michael";"Brown";"Male";"1986-02-06";"jessica.williams4@mail.com";"126-662-8981";"17:45:14";"2018-07-06";"8468 Oak St";"Los Angeles";"TX";77421
5;"Robert";"Jones";"Male";"1996-12-05";"robert.martinez5@mail.com";"758-947-2802";"01:43:10";"2018-03-11";"2820 Maple St";"Chicago";"TX";36281
6;"Linda";"Garcia";"Male";"1981-06-28";"william.davis6@mail.com";"781-582-3504";"19:11:28";"2020-07-29";"4537 Main St";"Chicago";"CA";90264
7;"Alex";"Jones";"Male";"1987-05-21";"john.williams7@mail.com";"687-991-1638";"08:22:41";"2018-01-02";"5773 Maple St";"Phoenix";"NY";52732
8;"Robert";"Garcia";"Male";"1961-08-23";"john.davis8@mail.com";"177-295-1630";"18:52:20";"2018-02-21";"6277 Pine St";"Chicago";"NY";74294
9;"Jessica";"Martinez";"Female";"1969-03-06";"michael.davis9@mail.com";"879-819-9602";"17:11:58";"2022-01-18";"4148 Oak St";"Chicago";"PA";81465
10;"Michael";"Smith";"Female";"1964-04-09";"sarah.rodriguez10@mail.com";"319-694-5299";"03:08:52";"2020-03-22";"5143 Oak St";"Houston";"IL";44666
11;"Emily";"Martinez";"Female";"1962-06-20";"william.jones11@mail.com";"925-216-2350";"12:50:14";"2018-01-11";"2137 Pine St";"Los Angeles";"PA";57118
12;"Jessica";"Rodriguez";"Male";"1963-12-13";"michael.martinez12@mail.com";"266-475-3071";"14:53:14";"2018-11-24";"4838 Pine St";"Houston";"PA";71718
13;"Jessica";"Miller";"Female";"1991-06-24";"jessica.garcia13@mail.com";"933-962-7201";"14:23:14";"2019-05-26";"8291 Elm St";"Houston";"NY";66190
14;"Alex";"Williams";"Female";"1983-02-06";"john.garcia14@mail.com";"137-725-5082";"00:14:48";"2016-03-15";"9794 Oak St";"New York";"TX";78554
15;"Sarah";"Garcia";"Female";"1979-11-05";"jessica.smith15@mail.com";"556-723-1316";"13:09:46";"2022-11-04";"9298 Oak St";"Houston";"AZ";86790
16;"Michael";"Rodriguez";"Female";"1974-07-17";"emily.smith16@mail.com";"795-532-4869";"23:17:24";"2018-08-30";"3846 Oak St";"Phoenix";"TX";31105
17;"Jane";"Miller";"Female";"1968-07-25";"linda.miller17@mail.com";"312-519-5125";"16:48:06";"2020-10-10";"203 Oak St";"Phoenix";"AZ";44847
18;"Jessica";"Davis";"Male";"1973-11-27";"jane.rodriguez18@mail.com";"628-343-4187";"12:10:29";"2021-05-22";"9426 Oak St";"San Antonio";"AZ";48621
19;"Sarah";"Smith";"Male";"1987-10-11";"linda.smith19@mail.com";"404-325-3945";"05:30:40";"2020-05-25";"1750 Pine St";"New York";"CA";62724
20;"Jane";"Jones";"Female";"1963-01-20";"linda.smith20@mail.com";"560-453-9456";"01:36:11";"2020-09-09";"3903 Elm St";"San Antonio";"NY";79867
21;"Michael";"Jones";"Female";"1991-01-24";"alex.garcia21@mail.com";"806-428-5950";"04:27:17";"2018-01-04";"6595 Elm St";"San Antonio";"TX";44783
22;"John";"Martinez";"Female";"1971-06-18";"alex.williams22@mail.com";"879-369-4003";"11:20:26";"2017-01-05";"2072 Maple St";"Philadelphia";"TX";84655
23;"Linda";"Brown";"Male";"1989-04-06";"emily.davis23@mail.com";"151-770-3879";"19:19:23";"2022-11-28";"2511 Elm St";"Los Angeles";"CA";70193
